Calling Component,Calling Type,App Name,App Owner,Called Component,Called Type
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAC3DSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",INTDSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",MOPTDSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DPX1010,ASSEMBLER
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",MAIDSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",OUTDSCT,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",MAIRATE2,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",MAIRATE1,FILE
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDXI0010,ASM_COPYBOOK
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DCPLUGS,ASM_COPYBOOK
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0320,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAE0310,ASM_COPYBOOK
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAI3DSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDADSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",GUARDSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0330,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAI3DSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAC3DSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TABDSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDADSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DCLDSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",GARDSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TAXDSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",INTDSCT,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",INTENTR1,FILE
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAE0310,ASM_COPYBOOK
DPA0340,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAI3DSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAC3DSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDADSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TABDSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0350,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAI3DSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDADSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TABDSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAC3DSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",INTDSCT,FILE
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DPA0380,COBOL
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0355,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAI3DSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAC3DSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDADSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DCLDSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",MGMOPT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",GARDSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TAXDSCT,FILE
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DPA0400,ASSEMBLER
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DPA0410,ASSEMBLER
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DCPLUGS,ASM_COPYBOOK
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAE0310,ASM_COPYBOOK
DPA0360,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAI3DSCT,FILE
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DCLDSCT,FILE
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0400,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAW3DSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAP3DSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAF3DSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAC3DSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDADSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BDADSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DSUINFO,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",BCRDSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DAB2DSCT,FILE
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DPA0080,ASSEMBLER
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDXI0010,ASM_COPYBOOK
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAW0310,ASM_COPYBOOK
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0410,ASSEMBLER,Life 70 - Underwriting,"Hutto, Amy",DDSU0080,ASM_COPYBOOK
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TXCOPY,COPYBOOK
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DPADSECT,FILE
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DSUINFO,FILE
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PMFIRST,FILE
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HTRAILER,FILE
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IS 2,COBOL
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",SCTABLE,FILE
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DPA0080,ASSEMBLER
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DDTB0420,ASM_COPYBOOK
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DDSC0420,ASM_COPYBOOK
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DDSU0080,ASM_COPYBOOK
DPA0420,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PMTRLR,COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DULI0500,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUCI0500,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DABDSECT,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUPI0500,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMRDSECT,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",MDPDSECT,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",ATRAILER,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",HTRAILER,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DCPLUGDS,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXIDSECT,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPX1030,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPX0060,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0200,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",CNDDSECT,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DADDSECT,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA3170,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",ITRAILER,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",JTRAILER,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0570,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0510,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0520,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0530,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0540,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0550,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0560,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",MTRAILER,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",BTRAILER,FILE
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA3005,ASSEMBLER
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXI1030,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAC0200,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAD0200,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAE3170,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDPA0800,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAACCT,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXL0060,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUC0500,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUL0500,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUP0500,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DCPLUGS,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",CDCNACT,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXI0000,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",FRONTX,ASM_COPYBOOK
DPA0500,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMTRLR,COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",CDUL0500,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUPI0500,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUCI0500,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMRDSECT,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0530,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",MDPDSECT,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0550,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXPDSECT,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAIDSEC,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",ATRAILER,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",ACTVDSEC,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA1000,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPXIPAC,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",MTRAILER,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",HTRAILER,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0540,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXSDSECT,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",PTRAILER,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",CDACDSEC,FILE
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0570,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA3005,ASSEMBLER
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAACCT,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDPA0800,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUL0500,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUC0500,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUP0500,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAI1000,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXS3020,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXP3020,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",CDCNACT,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",FRONTX,ASM_COPYBOOK
DPA0510,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMTRLR,COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DULI0500,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUCI0500,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUPI0500,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DABDSECT,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMRDSECT,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",MDPDSECT,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",ITRAILER,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",ATRAILER,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",JTRAILER,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXIDSECT,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DCPLUGDS,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPX1030,ASSEMBLER
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPX0060,ASSEMBLER
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DADDSECT,FILE
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0310,ASSEMBLER
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAP0300,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAC0300,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXI1030,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDAD0200,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXL0060,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUC0500,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUL0500,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUP0500,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",FRONTX,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMTRLR,COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DCPLUGS,ASM_COPYBOOK
DPA0520,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXI0000,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",CDUL0500,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUCI0500,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMRDSECT,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUPI0500,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXSDSECT,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",MDPDSECT,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",ATRAILER,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",MPCDSECT,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPXIP,ASSEMBLER
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",MDPREMA,ASSEMBLER
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXP3020,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPX3020,ASSEMBLER
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",BTRAILER,FILE
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUL0500,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUC0500,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDUP0500,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",MTMDPRMA,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXS3020,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",DDXP3020,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",CDCNACT,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",FRONTX,ASM_COPYBOOK
DPA0530,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMTRLR,COPYBOOK
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",TXCOPY,COPYBOOK
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DULI0500,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUCI0500,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DUPI0500,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",PMRDSECT,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",MDPDSECT,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",HTRAILER,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",ATRAILER,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXIDSECT,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DCPLUGDS,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPX1030,ASSEMBLER
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",BTRAILER,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",MMPDSECT,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",PTRAILER,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0545,ASSEMBLER
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0380,COBOL
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0580,ASSEMBLER
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DPA0590,ASSEMBLER
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",UTRAILER,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",ELEM15,FILE
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",MORTREAD,ASSEMBLER
DPA0540,ASSEMBLER,Policy Remarks,"Hutto, Amy",DXSDSECT,FILE
